INFO:root:Starting server on port 8080
INFO:root:Request: /100 | Duration: 0.000670 sec | Payload: 100 bytes | By: 10.0.0.2
INFO:root:Request: /200 | Duration: 0.000604 sec | Payload: 200 bytes | By: 10.0.0.2
INFO:root:Request: /300 | Duration: 0.000561 sec | Payload: 300 bytes | By: 10.0.0.2
INFO:root:Request: /400 | Duration: 0.000514 sec | Payload: 400 bytes | By: 10.0.0.2
INFO:root:Request: /500 | Duration: 0.000584 sec | Payload: 500 bytes | By: 10.0.0.2
INFO:root:Request: /600 | Duration: 0.000458 sec | Payload: 600 bytes | By: 10.0.0.2
INFO:root:Request: /700 | Duration: 0.000329 sec | Payload: 700 bytes | By: 10.0.0.2
INFO:root:Request: /800 | Duration: 0.000421 sec | Payload: 800 bytes | By: 10.0.0.2
INFO:root:Request: /900 | Duration: 0.000361 sec | Payload: 900 bytes | By: 10.0.0.2
INFO:root:Request: /1000 | Duration: 0.000400 sec | Payload: 1000 bytes | By: 10.0.0.2
INFO:root:Request: /1000 | Duration: 0.001212 sec | Payload: 1000 bytes | By: 10.0.0.2
INFO:root:Request: /2000 | Duration: 0.000600 sec | Payload: 2000 bytes | By: 10.0.0.2
INFO:root:Request: /3000 | Duration: 0.000612 sec | Payload: 3000 bytes | By: 10.0.0.2
INFO:root:Request: /4000 | Duration: 0.000392 sec | Payload: 4000 bytes | By: 10.0.0.2
INFO:root:Request: /5000 | Duration: 0.000440 sec | Payload: 5000 bytes | By: 10.0.0.2
INFO:root:Request: /6000 | Duration: 0.000405 sec | Payload: 6000 bytes | By: 10.0.0.2
INFO:root:Request: /7000 | Duration: 0.000473 sec | Payload: 7000 bytes | By: 10.0.0.2
INFO:root:Request: /8000 | Duration: 0.000482 sec | Payload: 8000 bytes | By: 10.0.0.2
INFO:root:Request: /9000 | Duration: 0.000486 sec | Payload: 9000 bytes | By: 10.0.0.2
INFO:root:Request: /10000 | Duration: 0.000520 sec | Payload: 10000 bytes | By: 10.0.0.2
INFO:root:Request: /100 | Duration: 0.000427 sec | Payload: 100 bytes | By: 10.0.0.2
INFO:root:Request: /200 | Duration: 0.000438 sec | Payload: 200 bytes | By: 10.0.0.2
INFO:root:Request: /300 | Duration: 0.000442 sec | Payload: 300 bytes | By: 10.0.0.2
INFO:root:Request: /400 | Duration: 0.000438 sec | Payload: 400 bytes | By: 10.0.0.2
INFO:root:Request: /500 | Duration: 0.000517 sec | Payload: 500 bytes | By: 10.0.0.2
INFO:root:Request: /600 | Duration: 0.000434 sec | Payload: 600 bytes | By: 10.0.0.2
INFO:root:Request: /700 | Duration: 0.000368 sec | Payload: 700 bytes | By: 10.0.0.2
INFO:root:Request: /800 | Duration: 0.000340 sec | Payload: 800 bytes | By: 10.0.0.2
INFO:root:Request: /900 | Duration: 0.000342 sec | Payload: 900 bytes | By: 10.0.0.2
INFO:root:Request: /1000 | Duration: 0.000344 sec | Payload: 1000 bytes | By: 10.0.0.2
INFO:root:Request: /1000 | Duration: 0.000349 sec | Payload: 1000 bytes | By: 10.0.0.2
INFO:root:Request: /2000 | Duration: 0.000427 sec | Payload: 2000 bytes | By: 10.0.0.2
INFO:root:Request: /3000 | Duration: 0.000393 sec | Payload: 3000 bytes | By: 10.0.0.2
INFO:root:Request: /4000 | Duration: 0.000409 sec | Payload: 4000 bytes | By: 10.0.0.2
INFO:root:Request: /5000 | Duration: 0.000418 sec | Payload: 5000 bytes | By: 10.0.0.2
INFO:root:Request: /6000 | Duration: 0.000441 sec | Payload: 6000 bytes | By: 10.0.0.2
INFO:root:Request: /7000 | Duration: 0.000438 sec | Payload: 7000 bytes | By: 10.0.0.2
INFO:root:Request: /8000 | Duration: 0.000478 sec | Payload: 8000 bytes | By: 10.0.0.2
INFO:root:Request: /9000 | Duration: 0.000752 sec | Payload: 9000 bytes | By: 10.0.0.2
INFO:root:Request: /10000 | Duration: 0.000410 sec | Payload: 10000 bytes | By: 10.0.0.2
INFO:root:Request: /100000 | Duration: 0.616469 sec | Payload: 100000 bytes | By: 10.0.0.2
INFO:root:Request: /200000 | Duration: 0.414635 sec | Payload: 200000 bytes | By: 10.0.0.2
INFO:root:Request: /300000 | Duration: 5.403845 sec | Payload: 300000 bytes | By: 10.0.0.2
INFO:root:Request: /400000 | Duration: 6.026963 sec | Payload: 400000 bytes | By: 10.0.0.2
INFO:root:Request: /500000 | Duration: 7.766779 sec | Payload: 500000 bytes | By: 10.0.0.2
INFO:root:Request: /600000 | Duration: 10.296369 sec | Payload: 600000 bytes | By: 10.0.0.2
INFO:root:Request: /700000 | Duration: 11.856588 sec | Payload: 700000 bytes | By: 10.0.0.2
INFO:root:Request: /800000 | Duration: 14.920062 sec | Payload: 800000 bytes | By: 10.0.0.2
INFO:root:Request: /900000 | Duration: 12.436820 sec | Payload: 900000 bytes | By: 10.0.0.2
INFO:root:Request: /1000000 | Duration: 18.323823 sec | Payload: 1000000 bytes | By: 10.0.0.2
